연번,인허가관할기관,업소명,업종,업태,업소주소,영업상태
1,인천광역시 강화군,(유한)애플이엔씨 인천강화,일반음식점,한식,인천광역시 강화군 선원면 창리 418 외 1필지,정상
2,인천광역시 강화군,(주)보광호,일반음식점,회집,인천광역시 강화군 길상면 해안남로619번길 21(1동 1층),정상
3,인천광역시 강화군,(주)섬고기,일반음식점,경양식,인천광역시 강화군 길상면 삼랑성길 4(1층),정상
4,인천광역시 강화군,(주)장어마을,일반음식점,한식,인천광역시 강화군 길상면 해안남로 298,정상
5,인천광역시 강화군,(주)충남서산집,일반음식점,한식,인천광역시 강화군 내가면 중앙로 1198(1층),정상
6,인천광역시 강화군,109 house,일반음식점,,인천광역시 강화군 양도면 해안서로 540,정상
7,인천광역시 강화군,10월에집,일반음식점,한식,인천광역시 강화군 길상면 마니산로 193(1층),정상
8,인천광역시 강화군,1박2일 족발,일반음식점,중국식,인천광역시 강화군 강화읍 북문길 12,정상
9,인천광역시 강화군,2번창고,일반음식점,기타,인천광역시 강화군 불은면 강화동로 680,정상
10,인천광역시 강화군,40시간,일반음식점,분식,인천광역시 강화군 양도면 중앙로 1009,정상
11,인천광역시 강화군,50년전통강화국수,일반음식점,분식,인천광역시 강화군 강화읍 동문안길 12-1(1층),정상
12,인천광역시 강화군,510포차,일반음식점,한식,인천광역시 강화군 길상면 온수길36번길 1,정상
13,인천광역시 강화군,59쌀피자,일반음식점,,인천광역시 강화군 강화읍 강화대로 439,정상
14,인천광역시 강화군,59쌀피자,일반음식점,,인천광역시 강화군 내가면 해안서로 902,정상
15,인천광역시 강화군,7080,일반음식점,경양식,인천광역시 강화군 강화읍 강화대로430번길 4,정상
16,인천광역시 강화군,911닭칼국수,일반음식점,한식,인천광역시 강화군 양도면 강화남로 911,정상
17,인천광역시 강화군,95경수호,일반음식점,회집,인천광역시 강화군 화도면 해안남로2903번길 56(가동 2호 외 1 필지),정상
18,인천광역시 강화군,969,일반음식점,기타,인천광역시 강화군 교동면 대룡안길54번길 59-1,정상
19,인천광역시 강화군,Blues Burgers,일반음식점,분식,인천광역시 강화군 강화읍 강화대로312번길 21(1층),정상
20,인천광역시 강화군,CAFE ILLUM(카페 일룸),일반음식점,기타,인천광역시 강화군 불은면 중앙로 730-2(1층),정상
21,인천광역시 강화군,CAFE SPOONBILL 까페 스푼빌,일반음식점,기타,인천광역시 강화군 길상면 해안남로 627(2층),정상
